説明(英語),説明(英語)
"edgeThreshold : The threshold used to filter out edge-like features. Note that the its meaning is different from the contrastThreshold, i.e. the larger the edgeThreshold, the less features are filtered out (more features are retained).",edgeThreshold : エッジ状の特徴を除外するための閾値。すなわち，edgeThresholdが大きければ大きいほど，フィルタリングされる特徴は少なくなります（より多くの特徴が保持されます）．
"sigma : The sigma of the Gaussian applied to the input image at the octave #0. If your image is captured with a weak camera with soft lenses, you might want to reduce the number.",sigma : オクターブ#0の入力画像に適用されるガウスのシグマ。柔らかいレンズを使った弱いカメラで撮影された画像の場合は，この数値を小さくするとよいでしょう．
Class for extracting keypoints and computing descriptors using the Scale Invariant Feature Transform (SIFT) algorithm by D. Lowe [153] . ,D. LoweによるScale Invariant Feature Transform (SIFT) アルゴリズムを用いて，キーポイントを抽出し，ディスクリプタを計算するクラス [153] ．
The BRISK constructor.,BRISKのコンストラクタです．
thresh : AGAST detection threshold score.,thresh : AGAST検出の閾値スコア．
octaves : detection octaves. Use 0 to do single scale.,octaves : 検出オクターブ数．シングルスケールの場合は0を使用します．
patternScale : apply this scale to the pattern used for sampling the neighbourhood of a keypoint.,patternScale : キーポイントの近傍をサンプリングするためのパターンにこのスケールを適用します．
The BRISK constructor for a custom pattern.,カスタムパターン用のBRISKコンストラクタです。
radiusList : defines the radii (in pixels) where the samples around a keypoint are taken (for keypoint scale 1).,radiusList : キーポイント周辺のサンプルを採取する半径（ピクセル単位）を定義します（キーポイントスケール1の場合）。
numberList : defines the number of sampling points on the sampling circle. Must be the same size as radiusList..,numberList : サンプリングサークル上のサンプリングポイントの数を定義します。radiusListと同じサイズである必要があります。
dMax : threshold for the short pairings used for descriptor formation (in pixels for keypoint scale 1).,dMax : ディスクリプタの形成に使用される短いペアリングの閾値（キーポイントスケール1の場合，ピクセル単位）．
dMin : threshold for the long pairings used for orientation determination (in pixels for keypoint scale 1).,dMin : 向きの決定に使用される長いペアリングの閾値（キーポイントスケール1のピクセル単位）．
indexChange : index remapping of the bits.,indexChange : ビットのインデックスリマッピング．
"The BRISK constructor for a custom pattern, detection threshold and octaves.",カスタムパターン，検出閾値，オクターブのためのBRISKコンストラクタ．
"Class implementing the BRISK keypoint detector and descriptor extractor, described in [139] . ",139]で述べられている，BRISKキーポイント検出器とディスクリプタ抽出器を実装したクラス．
The ORB constructor.,ORB コンストラクタ．
nfeatures : The maximum number of features to retain.,nfeatures :保持する特徴の最大数．
"scaleFactor : Pyramid decimation ratio, greater than 1. scaleFactor==2 means the classical pyramid, where each next level has 4x less pixels than the previous, but such a big scale factor will degrade feature matching scores dramatically. On the other hand, too close to 1 scale factor will mean that to cover certain scale range you will need more pyramid levels and so the speed will suffer.",scaleFactor : ピラミッドのデシメーション比（1より大きい）． scaleFactor==2は，次の各レベルが前のレベルよりも4倍少ないピクセルを持つ古典的なピラミッドを意味しますが，このような大きなスケールファクターは，特徴のマッチングスコアを劇的に低下させます．一方、スケールファクターが1に近すぎると、特定のスケール範囲をカバーするために、より多くのピラミッドレベルが必要となり、速度が低下します。
